State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,sex_ratio
Goa,North Goa,15.548723418714054,73.80667997909038,585,GOA,818008,416677,401331,663060,351738,311322,96.31705133712684
Goa,South Goa,15.195278658183785,73.941792596877,586,GOA,640537,322463,318074,502427,264085,238342,98.63891361179422
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,GUJARAT,7214225,3788051,3426174,5435760,3025463,2410297,90.44688152297844
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,GUJARAT,1514190,771049,743141,995459,558180,437279,96.38051537580621
Gujarat,Anand,22.282718206229863,72.57782051557454,482,GUJARAT,2092745,1087224,1005521,1551253,874481,676772,92.485173248567
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,GUJARAT,3120506,1610379,1510127,1704923,1048402,656521,93.77463317641374
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,GUJARAT,1551019,805707,745312,1118276,623047,495229,92.5040988845821
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,GUJARAT,2880365,1490201,1390164,1887255,1087371,799884,93.28701295999667
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,GUJARAT,1391753,723864,667889,1030494,582686,447808,92.26719383751643
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,GUJARAT,2160119,1114192,1045927,1396534,795140,601394,93.87313856139696
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,GUJARAT,2092371,1096737,995634,1252319,739239,513080,90.78147267758816
Gujarat,Kheda,22.88765312500002,73.018803515625,483,GUJARAT,2299885,1185727,1114158,1660243,942480,717763,93.96412496299739
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,GUJARAT,2035064,1056520,978544,1502645,847499,655146,92.61954340665581
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,GUJARAT,590297,301086,289211,370336,211767,158569,96.05594414884784
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,GUJARAT,1329672,678165,651507,1001909,539471,462438,96.06909822830727
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,GUJARAT,2390776,1226961,1163815,1440805,858054,582751,94.85346315001047
Gujarat,Patan,23.80634198473284,71.75162977099237,470,GUJARAT,1343734,694397,649337,837913,494631,343282,93.5109166658266
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,GUJARAT,585449,300209,285240,393678,221621,172057,95.01380704775673
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,GUJARAT,3804558,1974445,1830113,2725056,1514075,1210981,92.68999642937635
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,GUJARAT,2428589,1244231,1184358,1578734,918625,660109,95.18795143345568
Gujarat,Surat,21.25761372772093,72.93488716344339,492,GUJARAT,6081322,3402224,2679098,4571410,2687468,1883942,78.74549118458984
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,GUJARAT,1756268,909917,846351,1093626,643221,450405,93.01408809814522
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,GUJARAT,228291,113821,114470,140968,77314,63654,100.57019354952075
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,GUJARAT,4165626,2153736,2011890,2893080,1614087,1278993,93.41395602803686
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,GUJARAT,1705678,887222,818456,1170657,655528,515129,92.24929048197633
Haryana,Ambala,30.3503672316384,76.94970310734456,70,HARYANA,1128350,598703,529647,818025,461288,356737,88.46573342709156
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,HARYANA,1634445,866672,767773,1069871,643158,426713,88.5886471467868
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,HARYANA,1809733,966110,843623,1272739,734940,537799,87.32163004212771
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,HARYANA,942011,495360,446651,557578,327471,230107,90.16694928940568
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,HARYANA,1514432,816690,697742,1111116,638666,472450,85.43535490822711
Haryana,Hisar,29.23628731117825,75.84324682779452,80,HARYANA,1743931,931562,812369,1114311,670200,444111,87.205038419343
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,HARYANA,958405,514667,443738,676091,399480,276611,86.21846747508583
Haryana,Jind,29.45149821958457,76.29598575667653,77,HARYANA,1334152,713006,621146,832758,502049,330709,87.1165179535656
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,HARYANA,1074304,571003,503301,646529,385782,260747,88.14331973737441
Haryana,Karnal,29.703200647249204,76.87488025889972,74,HARYANA,1505324,797712,707612,978013,564516,413497,88.70519686302826
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,HARYANA,964655,510976,453679,646893,370828,276065,88.78675319388778
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,HARYANA,922088,486665,435423,630255,380440,249815,89.47078585885568
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,HARYANA,561293,299679,261614,405318,229862,175456,87.29807560756676
Haryana,Panipat,29.34352134146342,76.92895914634147,75,HARYANA,1205437,646857,558580,786599,464136,322463,86.35293426522401
Haryana,Rewari,28.19164714828897,76.55956007604564,85,HARYANA,900332,474335,425997,636947,375453,261494,89.80931198414622
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,HARYANA,1061204,568479,492725,747582,436025,311557,86.67426589196786
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,HARYANA,1295189,682582,612607,782897,456968,325929,89.74848443117457
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,HIMACHAL PRADESH,519080,261320,257760,323842,186064,137778,98.63768559620388
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,109.50292532362833
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,UTTAR PRADESH,1104285,593537,510748,653299,408125,245174,86.05158566357278
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,HIMACHAL PRADESH,454768,217070,237698,358091,180555,177536,109.50292532362833
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,UTTAR PRADESH,1104285,593537,510748,653299,408125,245174,86.05158566357278
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,HIMACHAL PRADESH,1510075,750591,759484,1152640,606443,546197,101.18479971116095
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,HIMACHAL PRADESH,84121,46249,37872,60699,36697,24002,81.88717593893922
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,HIMACHAL PRADESH,437903,225452,212451,307672,174550,133122,94.23336231215514
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,HIMACHAL PRADESH,999777,498065,501712,723747,393669,330078,100.73223374459157
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,HIMACHAL PRADESH,814010,425039,388971,612642,342846,269796,91.51419046252227
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,HIMACHAL PRADESH,529855,276289,253566,362645,205617,157028,91.77564072402447
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,HIMACHAL PRADESH,580320,308754,271566,428578,244372,184206,87.95545968635224
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,HIMACHAL PRADESH,521173,263692,257481,399715,213281,186434,97.64460051878707
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,JAMMU AND KASHMIR,409936,213641,196295,219083,138620,80463,91.88077194920452
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,JAMMU AND KASHMIR,1529958,813821,716137,1137135,641916,495219,87.99686909037737
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,JAMMU AND KASHMIR,140802,77785,63017,86236,56301,29935,81.01433438323585
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,JAMMU AND KASHMIR,616435,326109,290326,389204,228499,160705,89.02728842196935
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,JAMMU AND KASHMIR,560440,293064,267376,293958,178326,115632,91.23467911445964
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,JAMMU AND KASHMIR,476835,251899,224936,261724,163333,98391,89.29610677295265
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,JAMMU AND KASHMIR,1236829,651124,585705,748584,431746,316838,89.95291219491219
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,JAMMU AND KASHMIR,554985,296784,258201,322354,197543,124811,86.99963609898109
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,JHARKHAND,2062330,1072807,989523,1273520,759088,514432,92.23681426388903
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,JHARKHAND,1042886,533935,508951,510061,303902,206159,95.32077874647663
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,JHARKHAND,1492073,775022,717051,793538,489837,303701,92.52008330086113
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,JHARKHAND,2684487,1405956,1278531,1722204,1014950,707254,90.93677184776764
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,JHARKHAND,1321442,668514,652928,672409,406275,266134,97.66856041907873
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,JHARKHAND,1322784,683575,639209,653476,405161,248315,93.5097099806166
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,JHARKHAND,2445474,1258098,1187376,1253475,783736,469739,94.37865730650553
Jharkhand,Godda,24.8189,87.2941735483871,351,JHARKHAND,1313551,677927,635624,604519,376212,228307,93.75994760497812
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,JHARKHAND,1025213,514390,510823,559720,321795,237925,99.30655728144015
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,JHARKHAND,791042,404830,386212,426312,258260,168052,95.401032532174
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,JHARKHAND,726978,369666,357312,350682,209706,140976,96.65806430669848
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,JHARKHAND,461790,232629,229161,259707,149568,110139,98.50921424242034
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,JHARKHAND,900422,452661,447761,352881,206989,145892,98.91751222217067
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,JHARKHAND,1939869,1006302,933567,1024563,621706,402857,92.7720505375126
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,JHARKHAND,2914253,1494937,1419316,1911433,1085244,826189,94.94152596397039
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,JHARKHAND,1150567,589391,561176,483263,287303,195960,95.21285530318583
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,JHARKHAND,599578,300309,299269,343483,191991,151492,99.65369003259975
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,KARNATAKA,1889752,950111,939641,1113412,641388,472024,98.898023494097
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,KARNATAKA,990923,509172,481751,688749,385311,303438,94.61458996174181
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,KARNATAKA,4779661,2423063,2356598,3052032,1725548,1326484,97.25698423854435
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,KARNATAKA,2452595,1236954,1215641,1421621,813440,608181,98.2769771551731
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,KARNATAKA,1703300,870665,832635,1042673,597198,445475,95.6320743339861
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,CHHATTISGARH,255230,128663,126567,86919,54076,32843,98.37093803191283
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,KARNATAKA,2177331,1111022,1066309,1248268,730566,517702,95.9755072356803
